Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-06-02,Upcoming - 2026,,https://boxd.it/UOjX2,

Position,Name,Year,URL,Description
1,Hope,2026,https://boxd.it/E3vU,
2,Werwulf,2026,https://boxd.it/SC72,
3,Paper Tiger,2026,https://boxd.it/RaaU,
4,De Gaulle: Tilting Iron,2026,https://boxd.it/I688,
5,The Birthday Party,2026,https://boxd.it/Jd66,
6,The Way of the Wind,,https://boxd.it/mqE0,
7,Dune: Part Three,2026,https://boxd.it/ImWe,
8,The Odyssey,2026,https://boxd.it/QFQU,
9,Disclosure Day,2026,https://boxd.it/MDJY,
10,Fjord,2026,https://boxd.it/RVja,
11,Backrooms,2026,https://boxd.it/EY6W,
12,Digger,2026,https://boxd.it/LwDC,
13,The Dog Stars,2026,https://boxd.it/RfZI,
14,Moulin,2026,https://boxd.it/TcO2,
15,They Follow,,https://boxd.it/Js9u,
16,All of a Sudden,2026,https://boxd.it/UMOO,
17,Untitled The Batman Sequel,2027,https://boxd.it/umDy,
18,Heat 2,,https://boxd.it/DErS,
19,Coward,2026,https://boxd.it/TcSy,
20,Minotaur,2026,https://boxd.it/w1Nc,
21,A Man of His Time,2026,https://boxd.it/OkGA,
22,The End of Oak Street,2026,https://boxd.it/FF9a,
24,Primetime,2026,https://boxd.it/QX5s,
25,Teenage Sex and Death at Camp Miasma,2026,https://boxd.it/L9GS,
26,The Black Ball,2026,https://boxd.it/SDaQ,
